wkt_geom,MARKID,MARKTYPE1,MARKTYPE2,MARKNAME1,MARKNAME2,異動日期_西元年月,ADDRESS,TEL,坐標系統
Point (218179.00790000049164519 2670240.21570000099018216),B0000009226,9960101,,臺鐵臺中車站,臺鐵臺中站,201709,臺中市中區臺灣大道一段1號,04-22216492,TM2
Point (219294.5930999992415309 2671589.27589999977499247),B0000006369,9960101,,臺鐵精武車站,臺鐵精武站,201809,臺中市東區東光路161號,04-2360650,TM2
Point (203506.79090000066207722 2672165.03149999957531691),B0000000408,9960101,,臺鐵大肚車站,臺鐵大肚站,201310,臺中市大肚區平和街121號,04-26992523,TM2
Point (219511.16089999978430569 2673260.25730000017210841),B0000006987,9960101,,臺鐵太原車站,臺鐵太原站,201710,臺中市北屯區東光路665號,04-22313926,TM2
Point (219728.11649999982910231 2675000.73530000168830156),B0000006990,9960101,,臺鐵松竹車站,臺鐵松竹站,201809,臺中市北屯區松竹路一段1473巷100號,04-22473033,TM2
Point (219933.96990000049117953 2676703.03970000054687262),B0000006372,9960101,,臺鐵頭家厝車站,臺鐵頭家厝站,201809,臺中市潭子區頭張東路43巷8號,04-25391426,TM2
Point (203610.5464999993564561 2676969.00530000030994415),B0000000419,9960101,,臺鐵龍井車站,臺鐵龍井站,201310,臺中市龍井區龍新路1號,04-26355578,TM2
Point (220121.18190000011236407 2678592.94210000056773424),B0000004956,9960101,,臺鐵潭子車站,臺鐵潭子站,201308,臺中市潭子區中山路二段352-1號,04-25363852,TM2
Point (220615.23969999968539923 2681033.1176999993622303),B0000006991,9960101,,臺鐵栗林車站,臺鐵栗林站,201911,臺中市潭子區潭豐路二段747號,04-25391401,TM2
Point (205070.56489999900804833 2681360.29939999943599105),B0000000540,9960101,,臺鐵沙鹿車站,臺鐵沙鹿站,201308,臺中市沙鹿區中正街94號,04-26625057,TM2
Point (221925.88929999928222969 2683206.23750000074505806),B0000011964,9960101,,臺鐵豐原車站,臺鐵豐原站,201911,臺中市豐原區中正路1-1號,04-25207950,TM2
Point (206253.74519999872427434 2684291.7923000012524426),B0000000694,9960101,,臺鐵清水車站,臺鐵清水站,201308,臺中市清水區中正街115號,04-26222021,TM2
Point (209644.17530000070109963 2688829.11029999982565641),B0000001024,9960101,,臺鐵臺中港車站,臺鐵臺中港站,201310,臺中市清水區甲南路2號,04-26225374,TM2
Point (222909.43549999935203232 2689302.09590000007301569),B0000005800,9960101,,臺鐵后里車站,臺鐵后里站,201308,臺中市后里區甲后路一段1號,04-25562038,TM2
Point (212159.3188000004447531 2693216.32399999862536788),B0000001512,9960101,,臺鐵大甲車站,臺鐵大甲站,201308,臺中市大甲區中山路一段828號,04-26872022,TM2
Point (214915.98959999982616864 2696937.83320000022649765),B0000009227,9960101,9940301,臺鐵日南車站,臺鐵日南站,201712,臺中市大甲區中山路二段140巷8號,04-26816113,TM2
Point (184623.22950000019045547 2584976.08390000136569142),D0000002733,9960101,9940113,臺鐵後壁車站,臺鐵後壁站,202009,臺南市後壁區後壁里後壁77號,06-6872055,TM2
Point (180774.25049999915063381 2578421.75110000092536211),D0000002364,9960101,,臺鐵新營車站,臺鐵新營站,201410,臺南市新營區中山路1號,06-6322104,TM2
Point (180696.54310000053374097 2575175.75770000088959932),D0000002178,9960101,,臺鐵柳營車站,臺鐵柳營站,201410,臺南市柳營區建國路1號,06-6226450,TM2
Point (173341.22809999997843988 2533905.82349999900907278),D0000004394,9960101,,臺鐵中洲車站,臺鐵中洲站,201208,臺南市仁德區中洲路298-1號,06-2667191,TM2
Point (175343.09529999981168658 2534186.61050000041723251),D0000004551,9960101,,臺鐵長榮大學車站,臺鐵長榮大學站,201208,臺南市歸仁區長榮路一段200巷72弄126號,06-2782615,TM2
Point (172091.60809999890625477 2536020.80749999964609742),D0000004256,9960101,,臺鐵仁德車站,臺鐵仁德站,201410,臺南市仁德區永德路10號,06-2669383,TM2
Point (176782.73230000006151386 2536045.34009999874979258),D0000006610,9960101,,臺鐵沙崙車站,臺鐵沙崙站,201705,臺南市歸仁區沙崙里歸仁大道102號,06-3032686,TM2
Point (171191.95569999876897782 2537067.45849999925121665),D0000004977,9960101,9940301,臺鐵保安車站,臺鐵保安站,202009,臺南市仁德區文賢路一段529巷10號,06-2665988,TM2
Point (169360.49890000076266006 2544102.01769999926909804),D0000011113,9960101,,臺鐵臺南車站(臨時後站),臺鐵臺南站(臨時後站),202209,,,TM2
Point (169267.35029999975813553 2544188.20630000019446015),D0000008463,9960101,9940301,臺鐵臺南車站,臺鐵臺南站,202102,臺南市東區北門路二段4號,06-2261314,TM2
Point (170491.40950000105658546 2546622.04109999816864729),D0000003961,9960101,,臺鐵大橋車站,臺鐵大橋站,201208,臺南市永康區中華路835號,06-3021755,TM2
Point (173492.04889999935403466 2548719.82349999947473407),D0000006963,9960101,,臺鐵永康車站,臺鐵永康站,201705,臺南市永康區中山路459號,06-2323305,TM2
Point (177249.78010000014910474 2552006.72450000047683716),D0000011947,9960101,,臺鐵新市車站,臺鐵新市站,202209,臺南市新市區中華路1號,06-5996911,TM2
Point (178500.93929999967804179 2556336.92890000063925982),D0000001151,9960101,,臺鐵南科車站,臺鐵南科站,201208,臺南市新市區大營里大營287-300號,06-5896356,TM2
Point (178968.67690000054426491 2559218.43709999974817038),D0000001386,9960101,,臺鐵善化車站,臺鐵善化站,201703,臺南市善化區中山路1號,06-5837301,TM2
Point (180520.47449999878881499 2563558.76629999931901693),D0000001606,9960101,,臺鐵拔林車站,臺鐵拔林站,201208,臺南市官田區拔林里拔子林83之1號,06-5791664,TM2
Point (180316.83149999953457154 2565772.74019999941810966),D0000001784,9960101,,臺鐵隆田車站,臺鐵隆田站,201208,臺南市官田區中山路一段1號,06-5791664,TM2
Point (180518.74239999958081171 2571309.09450000058859587),D0000002066,9960101,9940113,臺鐵林鳳營車站,臺鐵林鳳營站,202009,臺南市六甲區中社里林鳳營16號,,TM2
Point (178134.60369999910471961 2521445.58589999936521053),E0000014572,9960101,,臺鐵岡山車站,臺鐵岡山站,202411,高雄市岡山區岡燕路111號,07-6212074,TM2
Point (183916.76039999912609346 2503618.72440000111237168),E0000014540,9960101,,臺鐵鳳山車站,臺鐵鳳山站,202407,高雄市鳳山區曹公路70號,07-7460423,TM2
Point (182384.77589999933843501 2503937.29010000079870224),E0000009068,9960101,,臺鐵正義車站,臺鐵正義站,201808,高雄市苓雅區正義路308號B1,07-7460423,TM2
Point (180726.79770000092685223 2504257.17109999945387244),E0000009067,9960101,,臺鐵科工館車站,臺鐵科工館站,201808,高雄市三民區大順三路307號,07-2371507,TM2
Point (179575.1508999991347082 2504448.18950000032782555),E0000009069,9960101,,臺鐵民族車站,臺鐵民族站,201808,高雄市三民區凱旋一路260號,07-2371507,TM2
Point (177450.41690000033122487 2504517.47609999915584922),E0000009066,9960101,,臺鐵三塊厝車站,臺鐵三塊厝站,201808,高雄市三民區康平街1號,07-2371507,TM2
Point (178254.47969999990891665 2504545.74890000047162175),E0000011392,9960101,,臺鐵高雄車站,臺鐵高雄站,202103,高雄市三民區建國二路320號,07-2352376,TM2
Point (187434.86689999929512851 2504568.95109999971464276),E0000006034,9960101,,臺鐵後庄車站,臺鐵後庄站,201710,高雄市大寮區民慶街9號,07-7020149,TM2
Point (176065.72230000060517341 2504798.9632999999448657),E0000009063,9960101,,臺鐵鼓山車站,臺鐵鼓山站,201808,高雄市鼓山區鐵路街20巷6號B1,07-2371507,TM2
Point (176154.29269999978714623 2505947.35410000057891011),E0000009064,9960101,,臺鐵美術館車站,臺鐵美術館站,201808,高雄市鼓山區翠華路246號B1,07-2371507,TM2
Point (176728.95310000056633726 2507460.35029999865218997),E0000009065,9960101,,臺鐵內惟車站,臺鐵內惟站,201808,高雄市鼓山區翠華路500號B1,07-5887825,TM2
Point (177458.68189999967580661 2508411.0821000006981194),E0000009062,9960101,,臺鐵左營(舊城)車站,臺鐵左營(舊城)站,201808,高雄市鼓山區翠華路1050號B1,07-5887825,TM2
Point (178773.23290000125416555 2509850.2708999989554286),E0000000235,9960101,,臺鐵新左營站,臺鐵新左營站,201711,高雄市左營區站前北路1號,07-5887825,TM2
Point (180582.52649999910499901 2514217.00249999901279807),E0000000649,9960101,,臺鐵楠梓車站,臺鐵楠梓站,201208,高雄市楠梓區建楠路229號,07-3510175,TM2
Point (179151.52550000039627776 2518000.10769999958574772),E0000000963,9960101,,臺鐵橋頭車站,臺鐵橋頭站,201208,高雄市橋頭區站前街14號,07-6115424,TM2
Point (174702.80289999948581681 2528303.42250000033527613),E0000001408,9960101,,臺鐵路竹車站,臺鐵路竹站,201208,高雄市路竹區中正路288號,07-6072723,TM2
Point (173455.48390000022482127 2530989.54189999867230654),E0000001565,9960101,,臺鐵大湖車站,臺鐵大湖站,201208,高雄市路竹區天祐路24號,07-6932127,TM2
Point (190492.3092999994114507 2506353.04579999996349216),E0000003815,9960101,,臺鐵九曲堂車站,臺鐵九曲堂站,202401,高雄市大樹區久堂路鐵路巷15號,07-6512020,TM2
Point (192917.81409999969764613 2597447.29149999981746078),I0000001671,9960101,9940301,臺鐵嘉義車站,臺鐵嘉義站,202412,嘉義市西區中山路528號,05-2228904,TM2
Point (194296.30550000080256723 2598387.7786999992094934),I0000000551,9960101,,阿里山林業鐵路北門車站,阿里山林鐵北門站,201906,嘉義市東區共和路428號,05-2768094,TM2
Point (193656.72250000038184226 2599733.7786999992094934),I0000000638,9960101,,臺鐵嘉北車站,臺鐵嘉北站,202009,嘉義市東區保建街110號,05-2334584,TM2
Point (187310.3256999995210208 2590194.75769999902695417),Q0000000236,9960101,,臺鐵南靖車站,臺鐵南靖站,202411,嘉義縣水上鄉三鎮路26號,05-2601232,TM2
Point (228582.15090000035706908 2600656.28779999865218997),Q0000001630,9960101,,阿里山林業鐵路二萬平車站,阿里山林鐵二萬平站,202412,,,TM2
Point (188662.77770000114105642 2592469.03730000089854002),Q0000002257,9960101,,臺鐵水上車站,臺鐵水上站,201702,嘉義縣水上鄉下寮村鴿溪寮49號,05-2228904,TM2
Point (194466.84769999934360385 2610952.36170000024139881),Q0000001923,9960101,,臺鐵大林站,臺鐵大林站,201604,嘉義縣大林鎮中山路2號,05-2654804,TM2
Point (191951.50629999919328839 2605865.74070000136271119),Q0000001147,9960101,,臺鐵民雄車站,臺鐵民雄站,201410,嘉義縣民雄鄉和平路2號,05-2264272,TM2
Point (204415.08750000124564394 2602580.11350000044330955),Q0000001023,9960101,9940301,阿里山林業鐵路竹崎車站,阿里山林鐵竹崎站,201906,嘉義縣竹崎鄉竹崎村舊車站11號,05-2611275,TM2
Point (206813.06370000034803525 2603852.80629999982193112),Q0000004496,9960101,,阿里山林業鐵路木屐寮車站,阿里山林鐵木屐寮車站,202209,,,TM2
Point (209414.88870000053429976 2603349.84769999980926514),Q0000001054,9960101,,阿里山林業鐵路樟腦寮車站,阿里山林鐵樟腦寮站,201906,,,TM2
Point (209924.1150999998790212 2603977.28830000059679151),Q0000001073,9960101,,阿里山林業鐵路獨立山車站,阿里山林鐵獨立山站,201906,,,TM2
Point (211208.41969999991124496 2604392.52850000094622374),Q0000001080,9960101,,阿里山林業鐵路梨園寮車站,阿里山林鐵梨園寮站,201906,,,TM2
Point (213633.62330000038491562 2603196.57290000002831221),Q0000001047,9960101,,阿里山林業鐵路交力坪車站,阿里山林鐵交力坪站,201906,嘉義縣竹崎鄉仁壽村交力坪63號,05-2501504,TM2
Point (202155.76570000016363338 2600194.69310000073164701),Q0000004483,9960101,,阿里山林業鐵路鹿麻產車站,阿里山林鐵鹿麻產車站,202209,嘉義縣竹崎鄉鹿滿村下溪心61-3號,,TM2
Point (224908.04440000024624169 2598831.79169999994337559),Q0000001623,9960101,,阿里山林業鐵路十字路車站,阿里山林鐵十字路站,201906,,,TM2
Point (222510.15919999888865277 2599461.772299999371171),Q0000001597,9960101,,阿里山林業鐵路多林車站,阿里山林鐵多林站,201906,嘉義縣阿里山鄉哆囉嘕106號,,TM2
Point (215232.86520000052405521 2600178.39149999991059303),Q0000002368,9960101,,阿里山林業鐵路水社寮車站,阿里山林鐵水社寮車站,201906,,,TM2
Point (218867.05799999978626147 2600276.71099999826401472),Q0000002380,9960101,,阿里山林業鐵路奮起湖車站,阿里山林鐵奮起湖站,201906,嘉義縣竹崎鄉中和村奮起湖168號之1,05-2561007,TM2
Point (230000.02870000008260831 2600779.11969999969005585),Q0000001651,9960101,9940301,阿里山林業鐵路阿里山車站,阿里山林鐵阿里山站,202209,嘉義縣阿里山鄉中正村阿里山1號,05-2679200,TM2
Point (231936.22059999941848218 2600791.96929999953135848),Q0000004704,9960101,,阿里山林業鐵路祝山車站,阿里山林鐵祝山站,202312,嘉義縣阿里山鄉中正村東阿里山99號,05-2679685,TM2
Point (227570.42860000027576461 2600884.81990000000223517),Q0000001627,9960101,,阿里山林業鐵路屏遮那車站(興建中),阿里山林鐵屏遮那站(興建中),201906,,,TM2
Point (230989.35689999992609955 2601266.696599998511374),Q0000002437,9960101,,阿里山林業鐵路沼平車站,阿里山林鐵沼平站,201906,嘉義縣阿里山鄉中正村東阿里山99號,05-2679685,TM2
Point (230217.04200000074342825 2601780.78619999950751662),Q0000001660,9960101,,阿里山林業鐵路神木車站,阿里山林鐵神木站,201906,,,TM2
Point (200076.80989999897428788 2490436.63670000061392784),T0000002647,9960101,,臺鐵崁頂車站,臺鐵崁頂站,201710,屏東縣崁頂鄉中正路122號,08-7882739,TM2
Point (202310.52890000026673079 2494537.26270000077784061),T0000002648,9960101,,臺鐵潮州車站,臺鐵潮州站,201911,屏東縣潮州鎮信義路111號,08-7882739,TM2
Point (202694.47989999910350889 2498564.67149999924004078),T0000001430,9960101,,臺鐵竹田車站,臺鐵竹田站,201009,屏東縣竹田鄉豐明路27-1號,08-7711002,TM2
Point (201315.31969999941065907 2501875.94109999947249889),T0000002651,9960101,,臺鐵西勢車站,臺鐵西勢站,201710,屏東縣竹田鄉西豐路2號,08-7784521,TM2
Point (200063.18369999906281009 2503958.95209999848157167),T0000001258,9960101,,臺鐵麟洛車站,臺鐵麟洛站,201009,屏東縣麟洛鄉中華路站前巷15號,08-7515140,TM2
Point (205970.46470000129193068 2477791.49589999997988343),T0000000124,9960101,,臺鐵東海車站,臺鐵東海站,201412,屏東縣枋寮鄉西安路92號,08-8782041,TM2
Point (203437.26570000022184104 2479472.12809999985620379),T0000002643,9960101,,臺鐵佳冬車站,臺鐵佳冬站,201710,屏東縣佳冬鄉復興路21號,08-8662939,TM2
Point (200096.33369999960996211 2481391.75349999964237213),T0000002644,9960101,,臺鐵林邊車站,臺鐵林邊站,201710,屏東縣林邊鄉仁愛路33號,08-8751475,TM2
Point (199696.19950000068638474 2484342.52830000128597021),T0000002645,9960101,,臺鐵鎮安車站,臺鐵鎮安站,201710,屏東縣林邊鄉永和路4號,08-8642942,TM2
Point (199767.67110000067623332 2488117.41290000034496188),T0000002646,9960101,,臺鐵南州車站,臺鐵南州站,201710,屏東縣南州鄉仁里路86號,08-8642942,TM2
Point (198918.69630000073811971 2505870.2566999988630414),T0000002649,9960101,,臺鐵歸來車站,臺鐵歸來站,201710,屏東縣屏東市歸仁路1-2號,08-7515140,TM2
Point (197202.89750000083586201 2507709.82430000090971589),T0000002657,9960101,,臺鐵屏東車站,臺鐵屏東站,201710,屏東縣屏東市公勇路62號,08-7515140,TM2
Point (195018.71789999934844673 2507392.15369999967515469),T0000002650,9960101,,臺鐵六塊厝車站,臺鐵六塊厝站,201710,屏東縣屏東市光復路392號,08-7515140,TM2
Point (208301.63770000083604828 2474368.13529999926686287),T0000000091,9960101,,臺鐵枋寮車站,臺鐵枋寮站,201009,屏東縣枋寮鄉儲運路18號,08-8782041,TM2
Point (211332.55670000019017607 2470248.70769999967887998),T0000000049,9960101,,臺鐵加祿車站,臺鐵加祿站,201412,屏東縣枋山鄉加祿村會社53號,08-8720791,TM2
Point (213255.66050000046379864 2467498.18210000079125166),T0000000043,9960101,,臺鐵內獅車站,臺鐵內獅站,201412,屏東縣枋山鄉南和路43號,08-8720791,TM2
Point (220858.07849999913014472 2464674.43949999986216426),T0000001975,9960101,,臺鐵枋野車站,臺鐵枋野站,201009,屏東縣獅子鄉內獅巷88號,08-8761953,TM2
Point (214921.19410000072093681 2463169.55430000089108944),T0000000036,9960101,,臺鐵枋山車站,臺鐵枋山站,201009,屏東縣獅子鄉內獅巷88號,08-8761953,TM2
Point (281876.69300000095972791 2581035.12340000085532665),U0000000083,9960101,,臺鐵玉里車站,臺鐵玉里站,201107,花蓮縣玉里鎮康樂街39號,03-8882020,TM2
Point (281123.39050000061979517 2574475.08999999891966581),U0000000047,9960101,,臺鐵東里車站,臺鐵東里站,201107,花蓮縣富里鄉大莊路15-6號,03-8861005,TM2
Point (278495.86389999923994765 2569338.54410000052303076),U0000000032,9960101,,臺鐵東竹車站,臺鐵東竹站,201107,花蓮縣富里鄉新興村新興26號,03-8821504,TM2
Point (275451.12890000076731667 2564138.69210000056773424),U0000000018,9960101,,臺鐵富里車站,臺鐵富里站,202012,花蓮縣富里鄉車站街56號,03-8831771,TM2
Point (285293.93870000098831952 2591334.67770000081509352),U0000000162,9960101,,臺鐵三民車站,臺鐵三民站,202012,花蓮縣玉里鎮三民里三民10號,03-8841847,TM2
Point (288480.15710000088438392 2599410.55749999964609742),U0000000223,9960101,,臺鐵瑞穗車站,臺鐵瑞穗站,201107,花蓮縣瑞穗鄉四維街13號,03-8875039,TM2
Point (288799.18550000007962808 2608596.26429999945685267),U0000000574,9960101,,臺鐵富源車站,臺鐵富源站,201504,花蓮縣瑞穗鄉富源路2號,03-8811824,TM2
Point (289758.35790000093402341 2611406.21549999993294477),U0000000829,9960101,,臺鐵大富車站,臺鐵大富站,202012,花蓮縣光復鄉明德路1號,03-8811824,TM2
Point (292959.73669999954290688 2618134.6051000002771616),U0000000573,9960101,,臺鐵光復車站,臺鐵光復站,201504,花蓮縣光復鄉中正路一段2-1號,03-8704143,TM2
Point (292733.68330000003334135 2623198.14409999875351787),U0000000877,9960101,,臺鐵萬榮車站,臺鐵萬榮車站,201504,花蓮縣鳳林鎮長德街17號,03-8752175,TM2
Point (295564.23410000110743567 2627004.24149999907240272),U0000000909,9960101,,臺鐵鳳林車站,臺鐵鳳林站,202111,花蓮縣鳳林鎮中山路43號,03-8762004,TM2
Point (296698.40270000067539513 2630986.83589999936521053),U0000000572,9960101,,臺鐵南平車站,臺鐵南平站,202111,花蓮縣鳳林鎮自強路233號,03-8771597,TM2
Point (297098.4138000012608245 2633226.70529999863356352),U0000003685,9960101,,臺鐵林榮新光車站,臺鐵林榮新光站,202309,花蓮縣鳳林鎮兆豐路800號,03-8772677,TM2
Point (300542.96890000009443611 2638327.16469999961555004),U0000000951,9960101,,臺鐵豐田車站,臺鐵豐田站,202110,花蓮縣壽豐鄉站前街36號,03-8654251,TM2
Point (302043.28870000026654452 2640649.60889999940991402),U0000003721,9960101,,臺鐵壽豐車站,臺鐵壽豐站,202110,花蓮縣壽豐鄉壽山路1號,03-8653706,TM2
Point (302999.93690000078640878 2642135.62230000086128712),U0000000972,9960101,,臺鐵平和車站,臺鐵平和站,202110,花蓮縣壽豐鄉平和路1號,03-8653706,TM2
Point (303903.59810000064317137 2644884.97770000109449029),U0000000984,9960101,,臺鐵志學車站,臺鐵志學站,202110,花蓮縣壽豐鄉中正路1號,03-8662966,TM2
Point (309289.01630000089062378 2651618.71790000097826123),U0000003617,9960101,,臺鐵吉安車站,臺鐵吉安站,202110,花蓮縣吉安鄉南昌街200號,03-8539423,TM2
Point (311234.75350000022444874 2654378.26429999945685267),U0000003771,9960101,,臺鐵花蓮車站,臺鐵花蓮站,202110,花蓮縣花蓮市國聯一路100號,03-8355941,TM2
Point (314686.79049999971175566 2654505.75649999966844916),U0000003376,9960101,,臺鐵花蓮港車站,臺鐵花蓮港站,202110,花蓮縣花蓮市港口路2號,03-8222468,TM2
Point (311196.75349999888567254 2658751.30649999994784594),U0000000751,9960101,,臺鐵北埔車站,臺鐵北埔站,201504,花蓮縣新城鄉自強街113號,03-8263809,TM2
Point (312113.71910000068601221 2665168.62609999906271696),U0000000570,9960101,,臺鐵景美車站,臺鐵景美站,201504,花蓮縣秀林鄉加灣178-1號,03-8611237,TM2
Point (315123.32449999958043918 2669297.46469999989494681),U0000001442,9960101,,臺鐵新城(太魯閣)車站,臺鐵新城(太魯閣)站,202110,花蓮縣新城鄉新興一路73號,03-8611237,TM2
Point (316593.47190000105183572 2674223.99029999971389771),U0000001603,9960101,,臺鐵崇德車站,臺鐵崇德站,202201,花蓮縣秀林鄉海濱路96號,03-8621365,TM2
Point (322288.52369999949587509 2682027.26369999907910824),U0000001604,9960101,,臺鐵和仁車站,臺鐵和仁站,202201,花蓮縣秀林鄉和仁路71號,03-8681221,TM2
Point (326468.98629999934928492 2688264.24570000031962991),U0000001593,9960101,,臺鐵和平車站,臺鐵和平站,202201,花蓮縣秀林鄉和平村276號,03-8681009,TM2
Point (265980.07070000062230974 2542082.79280000040307641),V0000000330,9960101,,臺鐵瑞和車站,臺鐵瑞和站,201503,臺東縣鹿野鄉瑞景路三段1-1號,089-580159,TM2
Point (266305.25250000139931217 2539430.0066999988630414),V0000000196,9960101,,臺鐵瑞源車站,臺鐵瑞源站,201412,臺東縣鹿野鄉瑞景路一段336巷8-1號,089-580159,TM2
Point (264051.47350000124424696 2534596.79010000079870224),V0000000399,9960101,,臺鐵鹿野車站,臺鐵鹿野站,201006,臺東縣鹿野鄉中正路38號,089-550217,TM2
Point (264142.2214999997522682 2528998.73970000026747584),V0000000832,9960101,9940113,臺鐵山里車站,臺鐵山里站,202012,臺東縣卑南鄉山里路108號,089-572370,TM2
Point (262643.32049999939044937 2521447.10050000110641122),V0000000820,9960101,,臺鐵臺東車站,臺鐵臺東站,201006,臺東縣臺東市岩灣路101巷598號,089-229687,TM2
Point (272507.3037000002223067 2558287.83730000117793679),V0000001272,9960101,,臺鐵池上車站,臺鐵池上站,202012,臺東縣池上鄉鐵花路30號,089-862097,TM2
Point (268110.33100000047124922 2555691.30660000117495656),V0000000261,9960101,,臺鐵海端車站,臺鐵海端站,201006,臺東縣關山鎮德高里西莊49號,089-811033,TM2
Point (266842.00349999906029552 2549348.98429999966174364),V0000000231,9960101,,臺鐵關山車站,臺鐵關山站,201412,臺東縣關山鎮博愛路2號,089-811033,TM2
Point (239786.61809999917750247 2473994.43930000020191073),V0000001096,9960101,,臺鐵大武車站,臺鐵大武站,201006,臺東縣大武鄉大鳥村和平部落33號,089-792056,TM2
Point (244009.05630000052042305 2484596.8629000005312264),V0000001134,9960101,,臺鐵瀧溪車站,臺鐵瀧溪站,201006,臺東縣太麻里鄉多良村大溪37號,089-761482,TM2
Point (246632.43410000001313165 2492410.38729999912902713),V0000001168,9960101,,臺鐵金崙車站,臺鐵金崙站,201006,臺東縣太麻里鄉金崙村金崙47-17號,089-771068,TM2
Point (250510.86790000094333664 2502077.40049999859184027),V0000001209,9960101,,臺鐵太麻里車站,台鐵太麻里站,202010,臺東縣太麻里鄉站前路2號,089-781544,TM2
Point (256236.75210000056540594 2512196.18750000093132257),V0000000411,9960101,,臺鐵知本車站,臺鐵知本站,201006,臺東縣臺東市知本路二段900巷85號,089-514482,TM2
Point (259602.84989999938989058 2518183.17549999943003058),V0000000372,9960101,,臺鐵康樂車站,臺鐵康樂站,201006,臺東縣臺東市博物館路51巷131號,089-383107,TM2
